Tweet,Sentiment,cleaned
"RT @Bod_repuplic: President Elect H.E Peter Obi.  If you believe kindly like and retweet massively. Let's go!

#INECElectionResult
#electio…",positive,RT Bodrepuplic President Elect Peter Obi believe kindly like retweet massively Lets go INECElectionResult electio
"discovered that the power holders from the @OfficialAPCNg @OfficialPDPNig North &amp; West @officialABAT have put Nigeria into this mess. #INECElectionResult is one good example, so low in quality. I want #Tinubu to change the narrative. @PeterObi is in ENUGU now. People were happy.",positive,discovered power holders OfficialAPCNg OfficialPDPNig North amp West officialABAT put Nigeria mess INECElectionResult one good example low quality want Tinubu change narrative PeterObi ENUGU People happy
"RT @Sirodue1: ‼️⚠️ Last Warning ⚠️ to @inecnigeria @MBuhari salvage the situation now before it is too late 📌

Abuja David Alaba Fashola #I…",negative,RT Sirodue1 Last Warning inecnigeria MBuhari salvage situation late Abuja David Alaba Fashola
"#OCCUPYINEC 
#occupyinec 
#OCCUPYINEC 
#OCCUPYINEC
#OCCUPYINEC 
#OCCUPYINEC
#OCCUPYINEC 
#OCCUPYINEC 

#INECElectionResult was compromised and Tinubu was selected by @MBuhari 

#NigeriaElections2023 #NigeriaDecides2023 
#NigeriaDecides",neutral,OCCUPYINEC occupyinec OCCUPYINEC OCCUPYINEC OCCUPYINEC OCCUPYINEC OCCUPYINEC OCCUPYINEC INECElectionResult compromised Tinubu selected MBuhari NigeriaElections2023 NigeriaDecides2023 NigeriaDecides
"RT @strongiess: W.I.T.M out now 🔥🔥🔥 🔊 strongies to your earssss

https://t.co/Pp7uckz4OE

#obeycourtorder #ELLUP #INECElectionResult #theni…",neutral,RT strongiess WITM strongies earssss obeycourtorder ELLUP INECElectionResult theni
"RT @unicalRAIN: Is this guy being serious?

Barack Obama|God is Good|INEC and APC|Presidency|Abuja|Yoruba| #protest #AlabaOut |African Unio…",negative,RT unicalRAIN guy serious Barack ObamaGod GoodINEC APCPresidencyAbujaYoruba protest AlabaOut African Unio
"W.I.T.M out now 🔥🔥🔥 🔊 strongies to your earssss

https://t.co/Pp7uckz4OE

#obeycourtorder #ELLUP #INECElectionResult #thenigeriawewant https://t.co/4AffOe9pHg",neutral,WITM strongies earssss obeycourtorder ELLUP INECElectionResult thenigeriawewant
"RT @chinanalyst7110: They, @inecnigeria, are apparently scared of their 'shady' shadows.

If not, give me another definition of ""fraud"".…",negative,RT chinanalyst7110 inecnigeria apparently scared shady shadows give another definition fraud
#channelstv #apc #lp #INECIsCorrupt #INECElectionResult Almighty Rufai Alaba Gburugburu Channels tv https://t.co/hINYKBqYzB,neutral,channelstv apc lp INECIsCorrupt INECElectionResult Almighty Rufai Alaba Gburugburu Channels tv
"Check out my #AUDCAD analysis on @TradingView: https://t.co/bvEqFLKrOx 
 #ELLUP #Ellupee #INECElectionResult #SupremeCourt #channelstv https://t.co/yyjYVqAMrD",neutral,Check AUDCAD analysis TradingView ELLUP Ellupee INECElectionResult SupremeCourt channelstv
RT @SOdumuh: Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidenti…,positive,RT SOdumuh anyone tell specified time frame Nigerian Constitution challenging outcome presidenti
"RT @unicalRAIN: Is this guy being serious?

Barack Obama|God is Good|INEC and APC|Presidency|Abuja|Yoruba| #protest #AlabaOut |African Unio…",negative,RT unicalRAIN guy serious Barack ObamaGod GoodINEC APCPresidencyAbujaYoruba protest AlabaOut African Unio
RT @SOdumuh: Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidenti…,positive,RT SOdumuh anyone tell specified time frame Nigerian Constitution challenging outcome presidenti
"RT @Kampalaboyy: Tiedye sleeveless finallyyyyyy!🤩🤩 - 8k 🛍

#INECElectionResult #NigeriaDecide2023 #BBTaitans #TinubuCannotWin #TinubuIsComi…",neutral,RT Kampalaboyy Tiedye sleeveless finallyyyyyy 8k INECElectionResult NigeriaDecide2023 BBTaitans TinubuCannotWin TinubuIsComi
RT @SOdumuh: Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidenti…,positive,RT SOdumuh anyone tell specified time frame Nigerian Constitution challenging outcome presidenti
"RT @chinanalyst7110: They, @inecnigeria, are apparently scared of their 'shady' shadows.

If not, give me another definition of ""fraud"".…",negative,RT chinanalyst7110 inecnigeria apparently scared shady shadows give another definition fraud
RT @SOdumuh: Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidenti…,positive,RT SOdumuh anyone tell specified time frame Nigerian Constitution challenging outcome presidenti
"RT @OgaUch3Str33tz: Gov. Sanwo Olu doing the common person challenge #lagoselection2023 
#INECElectionResult https://t.co/mzZIlWDtmJ",negative,RT OgaUch3Str33tz Gov Sanwo Olu common person challenge lagoselection2023 INECElectionResult
"RT @chukwudubemChi2: This 2023 Election is a very practical example that home training is not taking you no where🤦🏿‍♂️
#INECElectionResult…",positive,RT chukwudubemChi2 2023 Election practical example home training taking INECElectionResult
RT @Tbamchique: Alarming n shocking 😲! INEC have uploaded polling unit results on the INEC result portal. #INECElectionResult,negative,RT Tbamchique Alarming n shocking INEC uploaded polling unit results INEC result portal INECElectionResult
"RT @amerchami: Election Petition Cases, we are here for you! #NigeriaElection2023 #INECElectionResult #NigeriaDecide2023",neutral,RT amerchami Election Petition Cases NigeriaElection2023 INECElectionResult NigeriaDecide2023
RT @SOdumuh: Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidenti…,positive,RT SOdumuh anyone tell specified time frame Nigerian Constitution challenging outcome presidenti
"RT @unicalRAIN: Is this guy being serious?

Barack Obama|God is Good|INEC and APC|Presidency|Abuja|Yoruba| #protest #AlabaOut |African Unio…",negative,RT unicalRAIN guy serious Barack ObamaGod GoodINEC APCPresidencyAbujaYoruba protest AlabaOut African Unio
Can anyone tell me if there is a specified time frame in the Nigerian Constitution for challenging the outcome of a presidential election? Will the LP case against INEC Nigeria be decided before May 29th 2023? Thanks guys #INECFailedNigerians #INECElectionResult #INECIsCorrupt,positive,anyone tell specified time frame Nigerian Constitution challenging outcome presidential election LP case INEC Nigeria decided May 29th 2023 Thanks guys INECFailedNigerians INECElectionResult INECIsCorrupt
"RT @Grqceunlimited: #INECElectionResult
#INECChairman
#protest
@inecnigeria how can you declare somebody winner when the people didn't decl…",neutral,RT Grqceunlimited INECElectionResult INECChairman protest inecnigeria declare somebody winner people didnt decl
"RT @Mecris9: Inec this is really bad , how can you people rush to declare result without doing the right thing

#electionresults2023 #INECE…",negative,RT Mecris9 Inec really bad people rush declare result without right thing electionresults2023 INECE
RT @lancxxy1: Don't forget this people where Disenfranchised in Onitsha Awada @INEC... Mahmood Yakubu is still yet to speak on all this. Re…,neutral,RT lancxxy1 Dont forget people Disenfranchised Onitsha Awada INEC Mahmood Yakubu still yet speak
"@DavidHundeyin On the 18th of March, 2023. Who will you be voting for in Lagos gubernatorial election??  #LagosDecides2023 #INECDecides2023 #Lagos #Lagosblueprint #inec #INECElectionResult #election2023 https://t.co/BqZ2RjkxEO",neutral,DavidHundeyin 18th March 2023 voting Lagos gubernatorial election LagosDecides2023 INECDecides2023 Lagos Lagosblueprint inec INECElectionResult election2023
"@GRVlagos On the 18th of March, 2023. Who will you be voting for in Lagos gubernatorial election??  #LagosDecides2023 #INECDecides2023 #Lagos #Lagosblueprint #inec #INECElectionResult #INEC https://t.co/gO9bkVViZm",neutral,GRVlagos 18th March 2023 voting Lagos gubernatorial election LagosDecides2023 INECDecides2023 Lagos Lagosblueprint inec INECElectionResult INEC
"Yaayyy!💃💃💃 Another weekend to have a safe and sound cooking experience.

Follow these LPG Safety Tips below. 
✅Keep your gas cylinders in a well-ventilated area
✅Check for leaks regularly 
❌Never store your cylinders near a heat source.
#Gas #lpgsafety #INECElectionResult https://t.co/36ScjUIzHj",positive,Yaayyy Another weekend safe sound cooking experience Follow LPG Safety Tips Keep gas cylinders wellventilated area Check leaks regularly Never store cylinders near heat source Gas lpgsafety INECElectionResult
"RT @Obaspalava: When she says you hear from my lawyer,  I'm the lawyer she's talking about. #InternationalWomensDay #INECElectionResult #Ju…",neutral,RT Obaspalava says hear lawyer Im lawyer shes talking InternationalWomensDay INECElectionResult Ju
"May he be blessed, rewarded &amp; preserved beyond measure!💯
His well shall never run dry.💯
There is hope for a POssible New Nigeria.

#TakeBackNaija #NewNigeriaIsPossible #ObidientMovement #Obidients #ObiWon #ObiIsWinningEverywhere #INECElectionResult https://t.co/OWQnQ84gnq",positive,May blessed rewarded amp preserved beyond measure well shall never run dry hope POssible New Nigeria TakeBackNaija NewNigeriaIsPossible ObidientMovement Obidients ObiWon ObiIsWinningEverywhere INECElectionResult
"RT @oluwaloninyo: Do the gubernatorial elections become immediately void, if results are not transmitted from polling units unto the INEC s…",neutral,RT oluwaloninyo gubernatorial elections become immediately void results transmitted polling units unto INEC
"RT @NewsCentralTV: There is nobody, no observer that has said “ON RECORD” that BVAS didn’t work! -@omoluwabi , Public Affairs Analyst #Nige…",neutral,RT NewsCentralTV nobody observer said RECORD BVAS didnt work omoluwabi Public Affairs Analyst Nige
"I am touched, so will you. Nigerians are unbelievably so creative! Listen to this! #obiblo_music #PeterObiForPresident2023 #recoveriurmandate #INECElectionResult #theyourthsarecrying https://t.co/iOG0p98dCy",positive,touched Nigerians unbelievably creative Listen obiblomusic PeterObiForPresident2023 recoveriurmandate INECElectionResult theyourthsarecrying
"RT @NewsCentralTV: “INEC has lost their intergity” We asked LAGOSIANS if they still trust INEC here is what some of them had to say.

Share…",neutral,RT NewsCentralTV INEC lost intergity asked LAGOSIANS still trust INEC say Share
"On the 18th of March, 2023. Who will you be voting for in Lagos gubernatorial election??  #LagosDecides2023 #INECDecides2023 #Lagos #Lagosblueprint #inec #INECElectionResult #election2023 https://t.co/sG6By1JVIs",neutral,18th March 2023 voting Lagos gubernatorial election LagosDecides2023 INECDecides2023 Lagos Lagosblueprint inec INECElectionResult election2023
"#INEC why did you do this to us?

Original results In my village captured after voting and collation (left) versus #INEC results 
#INECElectionResult https://t.co/1ofGru9So1",positive,INEC us Original results village captured voting collation left versus INEC results INECElectionResult
"RT @Chase9a2: Blood on our flag 😭😭😭
#endbadgovernance #EndSars #2023GeneralElections #electionresults2023 #trending2023 #InternationalWomen…",neutral,RT Chase9a2 Blood flag endbadgovernance EndSars 2023GeneralElections electionresults2023 trending2023 InternationalWomen
"Blood on our flag 😭😭😭
#endbadgovernance #EndSars #2023GeneralElections #electionresults2023 #trending2023 #InternationalWomensDay #Jagaban #INEC #INECElectionResult https://t.co/Di8iJ8NbSj",neutral,Blood flag endbadgovernance EndSars 2023GeneralElections electionresults2023 trending2023 InternationalWomensDay Jagaban INEC INECElectionResult
RT @therealsteppas: when i say let’s go 30 this is what k mean… #ElvishYadav #Hareem_shah #INECElectionResult https://t.co/vgWTINy3mr,neutral,RT therealsteppas say lets go 30 k mean ElvishYadav Hareemshah INECElectionResult
"You feel less concern about the election's result made by INEC, because you are living fine, but yet you still wan Japa to a more developed country, my question is ""what is right about your country"" #19years #INECElectionResult  #inecnigeria",positive,feel less concern elections result made INEC living fine yet still wan Japa developed country question right country 19years INECElectionResult inecnigeria
RT @hillarypeters23: This is the Uninfluenced LAGOS STATE Results collected by LP party agents from live polling units before rigging magic…,positive,RT hillarypeters23 Uninfluenced LAGOS STATE Results collected LP party agents live polling units rigging magic
"RT @omo_ajayi1: History will remember 'Men that tried to destroy Nigeria but Failed'.
Generations to come your learn about them,their names…",negative,RT omoajayi1 History remember Men tried destroy Nigeria Failed Generations come learn themtheir names
"RT @Kingndusmith: TO WHOM IT MAY CONCERN SanwoOlu @jidesanwoolu
 warn Ur APC tugs O! U &amp; Ur people have pushed igbos too much O!To all BATs…",positive,RT Kingndusmith MAY CONCERN SanwoOlu jidesanwoolu warn Ur APC tugs U amp Ur people pushed igbos much OTo BATs
RT @hillarypeters23: This is the Uninfluenced LAGOS STATE Results collected by LP party agents from live polling units before rigging magic…,positive,RT hillarypeters23 Uninfluenced LAGOS STATE Results collected LP party agents live polling units rigging magic
"RT @tietiwantiwa: Box of 6ties +pocket square or Accessories box, we've got you.
Frame 1: 17,000 
Frame 2: 13,500

APC and INEC Supreme Cou…",neutral,RT tietiwantiwa Box 6ties pocket square Accessories box weve got Frame 1 17000 Frame 2 13500 APC INEC Supreme Cou
"“INEC has lost their intergity” We asked LAGOSIANS if they still trust INEC here is what some of them had to say.

Share your thoughts with #BreakfastCentral

#TheBallotNigeria #ElectionDay #NewsCentralTV #AfricaFirst #NigeriaElections2023 #NigeriaDecides2023 #INECElectionResult https://t.co/mKtlvy9rLY",neutral,INEC lost intergity asked LAGOSIANS still trust INEC say Share thoughts BreakfastCentral TheBallotNigeria ElectionDay NewsCentralTV AfricaFirst NigeriaElections2023 NigeriaDecides2023 INECElectionResult
"RT @tietiwantiwa: Box of 6ties +pocket square or Accessories box, we've got you.
Frame 1: 17,000 
Frame 2: 13,500

APC and INEC Supreme Cou…",neutral,RT tietiwantiwa Box 6ties pocket square Accessories box weve got Frame 1 17000 Frame 2 13500 APC INEC Supreme Cou
"@Gerryubz @fkeyamo It was @inecnigeria that rigged election not APC....

All inec officials must go down.....

#INECFailedNigerians 
#INECElectionResult 
Revolution must start from the judiciary....

Make court dey play.....",negative,Gerryubz fkeyamo inecnigeria rigged election APC inec officials must go INECFailedNigerians INECElectionResult Revolution must start judiciary Make court dey play
"RT @NapThecrazy: This is the Nigeria  we have today...
See what a Lawyer tweeted.

#electionresults2023 BVAS  Section 299 #INECElectionResu…",neutral,RT NapThecrazy Nigeria today See Lawyer tweeted electionresults2023 BVAS Section 299 INECElectionResu
RT @Don_Zarewa: Tinubu been talk say he go turn the so called *Yahoo Boys* to experts in processing and manufacturing of chips and dxvccvby…,neutral,RT DonZarewa Tinubu talk say go turn called Yahoo Boys experts processing manufacturing chips dxvccvby
